,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0014061311460059323,0.037498415246593184,0.03415843504080083,0.04201109275282821,0.03518357970443314,1.0
1,39 days,0.0013846666238179549,0.03721110887648949,0.03392744502032044,0.04201109275282821,0.0349067831564928,1.0
2,46 days,0.0013205457487734625,0.03633931409332684,0.033274703720414925,0.04201109275282821,0.034218819402389,1.0
3,53 days,0.0016706045940728645,0.04087303015526087,0.03924605783798589,0.044284181705355335,0.04024514322266991,1.0
4,60 days,0.0018829487761706483,0.04339295767945126,0.04322761966114213,0.044284181705355335,0.04430426523188312,1.0
5,67 days,0.001757963208097843,0.04192807183854086,0.04157318917884607,0.044284181705355335,0.04265693609359593,1.0
6,74 days,0.0013755308206292764,0.03708814932871788,0.03517641697317673,0.03688860498349202,0.03614915919574768,1.0
7,81 days,0.0013796205776309602,0.03714324403752263,0.035219383673459406,0.03688860498349202,0.03671156243183705,1.0
8,88 days,0.0011883979812378727,0.034473148699210414,0.03269929659924897,0.034084886267819074,0.03416123458128678,1.0
9,95 days,0.0010279545804473518,0.032061730777476004,0.030017723738972626,0.032014489404528265,0.031539530706508945,1.0
10,102 days,0.0028373903140341897,0.05326715980821757,0.04346817119284259,0.032014489404528265,0.046815766252558816,1.0
11,109 days,0.002815545996889272,0.05306171875174486,0.04252114489731662,0.032014489404528265,0.04583266594805204,1.0
12,116 days,0.0029154433465737248,0.05399484555560581,0.043516382648808034,0.032014489404528265,0.046420662360161985,1.0
13,123 days,0.0031064025360842676,0.055735110442918005,0.04603349219343196,0.04507499784199581,0.0491364641706574,1.0
14,130 days,0.0035646579358550503,0.05970475639222599,0.05203078221012947,0.05297851038877873,0.05553350540337358,1.0
15,137 days,0.00362515794931794,0.060209284577363485,0.052328421099039436,0.05297851038877873,0.05569728913217051,1.0
16,144 days,0.0109183141036936,0.104490736927699,0.08873130990464109,0.0549084384168965,0.09677095254826475,0.8
17,151 days,0.01772761733394275,0.13314509879805095,0.11657388454219003,0.10594935192890706,0.13228176474245054,0.6000000000000001
18,158 days,0.02759325697765188,0.16611218190624033,0.15302084631747528,0.19411951265052418,0.1778596573887804,0.4
19,165 days,0.028280371832206306,0.16816768962023088,0.15821232853555978,0.19411951265052418,0.1874457202690838,0.4
20,172 days,0.028499754525913946,0.16881870312827885,0.15925711440884516,0.19411951265052418,0.19295994922750861,0.4
21,179 days,0.030219231256055367,0.1738367948854769,0.1635168443324794,0.2078645233887631,0.20420280584715883,0.4
22,186 days,0.023085650146052124,0.15193962664838995,0.13193130988995272,0.13035806245044212,0.16963184481470334,0.6000000000000001
23,193 days,0.016916140699280213,0.13006206479708146,0.1152306052028194,0.13035806245044212,0.20616250289814902,0.8
24,200 days,0.020520419984196406,0.1432495025617765,0.1305680387884817,0.23881670542671726,0.35865685141838954,0.8
25,207 days,0.023175576449612482,0.15223526677354524,0.14057797049513138,0.5917765110799067,0.5749770128460272,0.8
26,214 days,0.02049397050036777,0.14315715315822597,0.13371320800325742,1.530015558485162,0.9119532189490097,0.8
27,221 days,0.025437110406609374,0.15949015771077968,0.1590887278723965,3.135103914700697,1.2987132641456105,0.8
28,228 days,0.022993000744915486,0.15163443126452344,0.14862584890418468,89.07740856340713,1.6073818536555398,0.8
29,235 days,0.019830694613120096,0.1408214991154408,0.13586975689157538,562.9349638151714,1.8340097499765702,0.8
30,242 days,0.018073672168609993,0.13443835824871558,0.1296920489891099,inf,1.9898001708305229,0.8
31,249 days,0.017195544563949047,0.13113178319518518,0.12713584999736738,inf,1.9985839077925054,0.8
32,256 days,0.015940982064499346,0.1262576020067677,0.12296544539826251,inf,2.0,0.8
33,263 days,0.017210734502321773,0.1311896890091663,0.12897393856932574,inf,2.0,0.8
34,270 days,0.017453318903594472,0.13211100977433513,0.13024739831456994,inf,2.0,0.8
35,277 days,0.015300509321045375,0.12369522755969761,0.11946153405116489,inf,2.0,0.8
36,284 days,0.010674080737862216,0.10331544288179874,0.09937347026459564,inf,1.986398449380249,1.0
37,291 days,0.00863231872603961,0.09291027244626726,0.09075390457016366,inf,1.89743017827147,1.0
38,298 days,0.009981439561592458,0.09990715470671988,0.09581314092538269,56.81682334353087,1.8158015820973095,1.0
39,305 days,0.019401441011499373,0.139289055605598,0.12378782262368163,7.800487053497082,1.537609544207212,0.8
40,312 days,0.04154915631381258,0.20383610159589635,0.17735144621972734,6.991969721675974,1.251221596727298,0.6000000000000001
41,319 days,0.05601613411429384,0.2366772784073153,0.21970053697797615,0.46686892862798995,0.9384972228603026,0.4
42,326 days,0.05440238797352949,0.2332431949136555,0.20758555795652045,0.44240415295021873,0.6365489771618167,0.4
43,333 days,0.051033569015452265,0.22590610663603644,0.19175541365822552,0.3110749746370356,0.332638218182867,0.4
44,340 days,0.039874984094437016,0.19968721565097006,0.1504051274973337,0.06978054503694579,0.21764865922484766,0.6000000000000001
45,347 days,0.016666344441403858,0.129098196894472,0.08231205367125538,0.04440894617324703,0.10407559979753397,0.8
46,354 days,0.0018605634106130813,0.04313424869651819,0.037020850738986914,0.04440894617324703,0.04077017983294558,1.0
47,361 days,0.0021242681720815156,0.046089783814653715,0.0400288550730874,0.05053336997584246,0.042337452946380943,1.0
