,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.1267439436539376,0.3560111566425097,0.3518525515064546,0.5874482950579257,0.8697420648027561,0.0
1,39 days,0.16037288938464667,0.4004658404716271,0.38964287242895224,0.5874482950579257,0.8474563985737762,0.0
2,46 days,0.19897677081040763,0.4460681235085148,0.437571747233061,0.6203865238827562,0.8609780098864896,0.0
3,53 days,0.21994172643617976,0.46897945204047026,0.45845839249925036,0.6203865238827562,0.8504960855212944,0.0
4,60 days,0.2527063607961347,0.5026990757860359,0.49653598567419266,0.6271249862264215,0.8793700093033876,0.0
5,67 days,0.273409956354031,0.5228861791575974,0.5220905402941554,0.6271249862264215,0.9049854850023569,0.0
6,74 days,0.2600328609937188,0.5099341731966184,0.508882423408946,0.6203865238827562,0.8921017292483142,0.0
7,81 days,0.2505612772253254,0.500560962546347,0.49938818839871557,0.6025549442216087,0.8847024803638036,0.0
8,88 days,0.2287273331511302,0.47825446485226897,0.47753001846833254,0.6007337302019097,0.8680869327632772,0.0
9,95 days,0.2222941971636231,0.4714808555642775,0.47121870089334605,0.6007337302019097,0.8740437007287633,0.0
10,102 days,0.22577105406019646,0.4751537162436978,0.4748550967295836,0.6025549442216087,0.9020763207114866,0.0
11,109 days,0.22841706566387576,0.4779299798755836,0.4776098474292091,0.6434221823028659,0.9464422913957865,0.0
12,116 days,0.2376756228389535,0.4875198691735071,0.4869000467223205,0.6629241954781995,1.0178606609958218,0.0
13,123 days,0.2127466102895582,0.4612446317189591,0.4520518280124323,0.6974947012471844,1.0604923800033408,0.0
14,130 days,0.17796673828728538,0.42186104144289666,0.4061963925752135,0.6978317400109268,1.121249436642289,0.0
15,137 days,0.13426514740038067,0.36642208912725316,0.336196575804738,0.701306427970646,1.1389324997893788,0.0
16,144 days,0.08753589212702861,0.295864651702478,0.25088109657216584,0.701306427970646,1.0791991682680526,0.2
17,151 days,0.033175644018817965,0.1821418239142728,0.14929315405416874,0.6978317400109268,0.8979711321244979,0.4
18,158 days,0.018535244796702675,0.1361442058873703,0.09529966077995866,0.701306427970646,1.0836112029347684,0.6000000000000001
19,165 days,0.004696257391757998,0.06852924479197182,0.048092851111421905,0.701306427970646,1.233134935526147,0.8
20,172 days,0.0013897992722260158,0.03728001169830846,0.03021023754235226,2.0714924547862132,1.4171312705893055,1.0
21,179 days,0.0007813017927397021,0.027951776200086143,0.023101989314770373,inf,1.6626636458718953,1.0
22,186 days,0.000754258836772888,0.027463773170722336,0.02178939085302017,inf,2.0,1.0
23,193 days,0.0007548752662543221,0.02747499347141546,0.022041556741587455,inf,2.0,1.0
24,200 days,0.0006004784941836124,0.02450466270291457,0.017652365051114394,inf,2.0,1.0
25,207 days,0.0001449958040439912,0.012041420349941746,0.008381438427143367,inf,2.0,1.0
26,214 days,2.7243514813899e-05,0.005219532049321951,0.004605064558477409,inf,2.0,1.0
27,221 days,3.494165115250737e-05,0.005911146348425775,0.005074798546406717,inf,2.0,1.0
28,228 days,4.992670445589858e-05,0.007065883133473025,0.006474659416393186,inf,2.0,1.0
29,235 days,7.270255376099003e-05,0.008526579253193512,0.007662705039931279,inf,2.0,1.0
30,242 days,0.00013872565185835502,0.011778185422990887,0.011029547069817836,inf,2.0,1.0
31,249 days,0.0002110786408971032,0.014528545725471053,0.013797522398785641,inf,2.0,1.0
32,256 days,0.00022456672186707975,0.014985550435905907,0.014415483082149473,inf,2.0,1.0
33,263 days,0.0002678702968092968,0.01636674362264213,0.01607947365117682,inf,2.0,1.0
34,270 days,0.0003347935851473233,0.018297365524777693,0.018005743278048054,inf,2.0,1.0
35,277 days,0.00030797606836197847,0.017549246945723296,0.017175263968506205,inf,2.0,1.0
36,284 days,0.00023773100541363068,0.015418527991142043,0.014568152821090505,inf,2.0,1.0
37,291 days,0.000220060112734754,0.01483442323566218,0.013711786419968348,inf,2.0,1.0
38,298 days,0.0001952068499760431,0.013971644497912302,0.012889747733299588,inf,2.0,1.0
39,305 days,0.00014952100600794204,0.012227878230009573,0.011700931624322269,inf,2.0,1.0
40,312 days,0.00011499727414799915,0.010723678200505606,0.009893692049816794,inf,2.0,1.0
41,319 days,0.00010945737177910492,0.010462187714770985,0.00941193123435589,inf,2.0,1.0
42,326 days,0.0001048974137590415,0.010241943846704174,0.009104113225558003,inf,2.0,1.0
43,333 days,9.865590631403574e-05,0.009932567961712406,0.00885313377195067,inf,2.0,1.0
44,340 days,4.6279914214838444e-05,0.00680293423566908,0.0058837761737562284,inf,2.0,1.0
45,347 days,0.00027253873010402933,0.016508747078565027,0.011678944698773914,inf,2.0,1.0
46,354 days,0.001581041029509852,0.039762306642218984,0.026972576770749657,inf,2.0,1.0
47,361 days,0.004693792007890263,0.06851125460747498,0.05063134838104738,inf,2.0,1.0
