,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.14751511257451494,0.38407696178567513,0.3805754282666135,0.6142251952988007,0.8790093233196801,0.0
1,39 days,0.1806223600413835,0.424996894154985,0.41804649111450204,0.6129418672470344,0.859713887069273,0.0
2,46 days,0.20807807112033555,0.4561557531373857,0.45068204004563356,0.5964727308980919,0.8524119998388153,0.0
3,53 days,0.21378733041159897,0.46237142040960855,0.4564402095729577,0.5964727308980919,0.8263530186877408,0.0
4,60 days,0.23903605389833218,0.48891313533012404,0.4855798860381694,0.6058769469322183,0.843431125473958,0.0
5,67 days,0.2517074086246098,0.5017045032931334,0.5009430166820283,0.6058769469322183,0.8562609880246089,0.0
6,74 days,0.23573735410472593,0.4855279127967062,0.48481590825290877,0.5964727308980919,0.8404088168157912,0.0
7,81 days,0.22954698972848564,0.4791106236856846,0.4784513950220025,0.585604184529232,0.8360288619847163,0.0
8,88 days,0.22153060845254408,0.4706703819580579,0.4702661571902583,0.585604184529232,0.8320797792521674,0.0
9,95 days,0.2224364734933747,0.47163171383334124,0.4711572076537804,0.585604184529232,0.8424939888380161,0.0
10,102 days,0.23166086768278266,0.4813116118304052,0.4808655894787278,0.5962162700081105,0.8714663936008604,0.0
11,109 days,0.22534473593889512,0.47470489352743683,0.4736345139083576,0.6316338421941181,0.8955303610768035,0.0
12,116 days,0.2322065990913257,0.4818781994356309,0.48066533430075564,0.6324132912323227,0.9513408262872896,0.0
13,123 days,0.2097337437484566,0.45796696796652986,0.4524882979666685,0.645029105291498,0.9878776676195078,0.0
14,130 days,0.17972964729059362,0.42394533526221706,0.4169027232387729,0.6807935991782863,1.046166807198122,0.0
15,137 days,0.13439311101025977,0.36659665984602174,0.3471418765927433,0.6807935991782863,1.061744584311615,0.0
16,144 days,0.10027324684371205,0.3166595124794328,0.2770849528539228,0.6807935991782863,1.0462839410029467,0.2
17,151 days,0.04915771124888289,0.22171538342858146,0.1767429087943969,0.6798600644700691,0.8497634797607321,0.4
18,158 days,0.027597296992276553,0.1661243419619068,0.11142930987416876,0.6798600644700691,1.0433382838992715,0.6000000000000001
19,165 days,0.005570947510715529,0.0746387802065088,0.049376596442239934,0.6798600644700691,1.2004103066554765,0.8
20,172 days,0.0012878060905705856,0.03588601525065977,0.02633028696500131,3.0957999240895018,1.3944139433389895,1.0
21,179 days,0.0004251198008036246,0.0206184335196354,0.016457969150805468,inf,1.6249025370721875,1.0
22,186 days,0.00043094568429972,0.020759231303199066,0.01701378001757307,inf,2.0,1.0
23,193 days,0.0004303831753236728,0.020745678473447736,0.016772565076614385,inf,2.0,1.0
24,200 days,0.0003319045937520455,0.018218248921124267,0.012835365459269065,inf,2.0,1.0
25,207 days,8.414209369203234e-05,0.00917289996086474,0.00633592696171684,inf,2.0,1.0
26,214 days,1.571149147279352e-05,0.003963772379034084,0.0034118283874133466,inf,2.0,1.0
27,221 days,1.4352085249292596e-05,0.00378841460894826,0.003305013539777711,inf,2.0,1.0
28,228 days,2.7400450729227574e-05,0.005234543984840282,0.004811789869916961,inf,2.0,1.0
29,235 days,5.243762084365984e-05,0.007241382522948214,0.006579401895282712,inf,2.0,1.0
30,242 days,9.367914887217775e-05,0.009678798937480712,0.008943583375629982,inf,2.0,1.0
31,249 days,0.00014637522809980507,0.012098563059297789,0.011428499789335933,inf,2.0,1.0
32,256 days,0.0001665398110106236,0.012905030453688343,0.012558600051502647,inf,2.0,1.0
33,263 days,0.00020352845427901552,0.014266339904790419,0.014104683707092724,inf,2.0,1.0
34,270 days,0.00025458280480791085,0.015955651187209843,0.015741695706008148,inf,2.0,1.0
35,277 days,0.00024002130371324692,0.01549262094396061,0.015192615847079457,inf,2.0,1.0
36,284 days,0.00019110449308377264,0.013824054871265978,0.01306525971845752,inf,2.0,1.0
37,291 days,0.00017912214565257478,0.013383652179154043,0.012483110074761017,inf,2.0,1.0
38,298 days,0.0001603922135892616,0.012664604754561494,0.011822473096982299,inf,2.0,1.0
39,305 days,0.00012579464177916506,0.011215821047928906,0.010814803283577833,inf,2.0,1.0
40,312 days,9.892274261085635e-05,0.009945991283469756,0.008964478240260546,inf,2.0,1.0
41,319 days,9.227871105035132e-05,0.009606180877453397,0.008173987608040568,inf,2.0,1.0
42,326 days,8.14040322137109e-05,0.009022418312941986,0.007380486475508615,inf,2.0,1.0
43,333 days,6.587681453616457e-05,0.008116453322490346,0.00665574250334002,inf,2.0,1.0
44,340 days,2.5011296649600522e-05,0.005001129537374584,0.004365986374404651,inf,2.0,1.0
45,347 days,0.00036142539052146875,0.019011191191544752,0.012058398855258248,inf,2.0,1.0
46,354 days,0.001979635555512754,0.04449309559372953,0.02960871229603798,inf,2.0,1.0
47,361 days,0.005631005314529141,0.07504002475032336,0.05567611316722725,inf,2.0,0.8
