,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.09480611598347868,0.30790601810208046,0.3028166086146115,0.5109109713340136,0.7673619662829922,0.0
1,39 days,0.12146138174394971,0.3485131012515164,0.33672193834526754,0.5109109713340136,0.7563995006170926,0.0
2,46 days,0.1542687013115402,0.39277054537164596,0.37097825406624607,0.5109109713340136,0.7611693829197805,0.0
3,53 days,0.20617718716848601,0.45406738174910344,0.43820422289398436,0.6097209660557558,0.8322438411372671,0.0
4,60 days,0.2452267422262348,0.4952037380980023,0.48584707390510234,0.6338740464004897,0.8806001671093068,0.0
5,67 days,0.27394443057888607,0.5233970104795078,0.5222200268147189,0.6338740464004897,0.9199411172124072,0.0
6,74 days,0.2710326728499949,0.5206079838515684,0.5191231022658587,0.6338740464004897,0.911964644753082,0.0
7,81 days,0.2530695256169078,0.5030601610313699,0.5018981863689512,0.606954532696557,0.8931291695603215,0.0
8,88 days,0.23783941866227526,0.48768782911025704,0.4871785716482186,0.606954532696557,0.8831075172171453,0.0
9,95 days,0.23641251095509613,0.4862226968736611,0.48582097887753717,0.606954532696557,0.8990213947811667,0.0
10,102 days,0.2656633454076346,0.5154254023693774,0.512318967612336,0.6262875792485009,0.9579848538634952,0.0
11,109 days,0.3091735617734418,0.5560337775472294,0.5511979345524617,0.6700169365742837,1.0469149976994134,0.0
12,116 days,0.3300138324670849,0.5744683041448717,0.5709431402630767,0.7349398640385901,1.1383848388710784,0.0
13,123 days,0.29352627617704424,0.5417806531955938,0.5188722585226887,0.7349398640385901,1.157849911919108,0.0
14,130 days,0.2398958668067901,0.4897916565303967,0.4278207296365657,0.7349398640385901,1.0723680436108454,0.2
15,137 days,0.16395263556700196,0.4049106513380476,0.31406612337944867,0.6707178588201295,0.9325960899519662,0.4
16,144 days,0.07912272202569896,0.2812876144192967,0.199662258693671,0.5175963895056099,0.8158824561230644,0.6000000000000001
17,151 days,0.012573574228741547,0.11213195007999079,0.08765241585879299,0.44970118744251214,0.5977254115916484,0.8
18,158 days,0.0028816799829138795,0.053681281494706135,0.04457179977311913,0.37599411128670823,0.4383556247062803,1.0
19,165 days,0.002058587839319791,0.04537166339599851,0.034975667851441,0.37599411128670823,0.7223260738094046,1.0
20,172 days,0.002055112689227705,0.045333350739027715,0.03494044314637269,0.5175963895056099,1.0297170225984855,1.0
21,179 days,0.0009089587978931997,0.03014894356180992,0.025607965497270718,inf,1.290052929542752,1.0
22,186 days,0.0008797062068519514,0.029659841652509737,0.024601097354591903,inf,1.6424588055682403,1.0
23,193 days,0.0008786048525149577,0.02964126941470216,0.024478081636625806,inf,2.0,1.0
24,200 days,0.0008589623088720918,0.029308058770107785,0.023916632193477037,inf,2.0,1.0
25,207 days,0.00037635505852763953,0.019399872642046893,0.014748743374892214,inf,2.0,1.0
26,214 days,9.311846850646585e-05,0.009649791112063818,0.008292317422985461,inf,2.0,1.0
27,221 days,8.157819425854856e-05,0.009032064783788287,0.007750803763069324,inf,2.0,1.0
28,228 days,0.00014072906631068245,0.011862928235081019,0.010456136857783762,inf,2.0,1.0
29,235 days,0.00017669434378573707,0.013292642468137668,0.011427281724760553,inf,2.0,1.0
30,242 days,0.00032999928283943014,0.018165882385379195,0.016325975037181358,inf,2.0,1.0
31,249 days,0.00039995548190167727,0.019998887016573628,0.01908313098552889,inf,2.0,1.0
32,256 days,0.0004550519779945779,0.021331947355892708,0.021028063216153785,inf,2.0,1.0
33,263 days,0.0005515501789573501,0.023485105470432744,0.023130308916208486,inf,2.0,1.0
34,270 days,0.0006144130490923382,0.0247873566378575,0.02442951388880491,inf,2.0,1.0
35,277 days,0.000522119259365219,0.022849929088844433,0.0224094309837445,inf,2.0,1.0
36,284 days,0.0004922029869273664,0.02218564821967946,0.02155145689790356,inf,2.0,1.0
37,291 days,0.00043952141866336565,0.020964766124699927,0.019732096581427376,inf,2.0,1.0
38,298 days,0.0003517155450011429,0.018754080755961966,0.017867480201488137,inf,2.0,1.0
39,305 days,0.0002806701460928085,0.016753213008041428,0.016368159788281537,inf,2.0,1.0
40,312 days,0.00026305450097171656,0.01621895499012549,0.01583291677690504,inf,2.0,1.0
41,319 days,0.00026644930736709953,0.016323275019649076,0.01594199036267328,inf,2.0,1.0
42,326 days,0.0002670786347824303,0.016342540646497726,0.01597343080359891,inf,2.0,1.0
43,333 days,0.00023108121635829923,0.015201355740798228,0.014854566669291563,inf,2.0,1.0
44,340 days,0.00015155519534798426,0.012310775578654022,0.010941168818699215,inf,2.0,1.0
45,347 days,0.00025490011400213517,0.01596559156442802,0.01337755910256496,inf,2.0,1.0
46,354 days,0.0010954288605070374,0.033097263640776066,0.02355735358972782,inf,2.0,1.0
47,361 days,0.0035922556431850867,0.05993542894803613,0.04397734420524075,inf,2.0,1.0
