,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.09962788356438648,0.3156388498971356,0.3055017501157481,0.5639104131284026,0.8310045178749093,0.2
1,39 days,0.1290962948048442,0.3592997283673398,0.3423037243225914,0.5639104131284026,0.8226266316425268,0.2
2,46 days,0.1692894727379626,0.41144801948479787,0.38141765647304066,0.5639104131284026,0.8287933641422244,0.2
3,53 days,0.23506754378561578,0.4848376468320254,0.46732110354848344,0.6485860504767098,0.9316474870717992,0.0
4,60 days,0.2816228659171877,0.5306815108115108,0.5199584191632041,0.6865056379016561,0.983641554743702,0.0
5,67 days,0.31688834161871504,0.5629283627769301,0.5612032464731422,0.6865056379016561,1.0281834135682766,0.0
6,74 days,0.3184545811566511,0.5643178015592376,0.5627811175806486,0.6865056379016561,1.0260061033517207,0.0
7,81 days,0.29784036320563234,0.5457475269807756,0.5445725987372009,0.6611573486419281,1.0075927571508332,0.0
8,88 days,0.2813147433525769,0.5303911229956407,0.5298381846922124,0.6611573486419281,0.9975131641652749,0.0
9,95 days,0.2807784443297253,0.5298853124306478,0.5293699239513721,0.6611573486419281,1.0125714742883236,0.0
10,102 days,0.3062434377605305,0.5533926614624831,0.5511335696463404,0.676684344007712,1.0637860795201515,0.0
11,109 days,0.34434391653287977,0.5868082451132395,0.5838615143272768,0.7181966326367514,1.143059282555406,0.0
12,116 days,0.3561700308256071,0.5967998247533315,0.5946608916344324,0.766851007883553,1.2216443465647544,0.0
13,123 days,0.3131258333212639,0.5595764767404576,0.5385744649461561,0.766851007883553,1.2378061858887806,0.0
14,130 days,0.24967202689688328,0.4996719192599113,0.44358622029004163,0.766851007883553,1.1688350665923037,0.2
15,137 days,0.16857234773207225,0.4105756297347326,0.3273429973303982,0.711140731859749,1.034711442418852,0.4
16,144 days,0.08221379896662334,0.28672948743828797,0.21350377354566988,0.5845829581423365,0.9308474138030434,0.6000000000000001
17,151 days,0.0162004418976292,0.12728095653957508,0.09957711999187338,0.5589469134812469,0.6730611401854902,0.8
18,158 days,0.004368883953381096,0.06609753364068205,0.05325503863815588,0.5589469134812469,0.5964473613556698,1.0
19,165 days,0.002554968960896485,0.050546700791411554,0.0371099061259071,0.5845829581423365,0.8412977922772588,1.0
20,172 days,0.0022203746717686127,0.04712085177252861,0.03375292965391778,1.126100743071528,1.126675802486445,1.0
21,179 days,0.0006762155702027793,0.026004145250378433,0.021877161250576777,inf,1.3614713600204702,1.0
22,186 days,0.0006945507696710259,0.026354331136855397,0.023048088092789583,inf,1.744090141121311,1.0
23,193 days,0.0006692361290414216,0.025869598548130226,0.021445489168371402,inf,2.0,1.0
24,200 days,0.0006598153211980283,0.025686870599550042,0.021132066118777854,inf,2.0,1.0
25,207 days,0.0003173236649738216,0.017813580913837106,0.013294299556994248,inf,2.0,1.0
26,214 days,6.933209512197474e-05,0.008326589645345491,0.006788102746001048,inf,2.0,1.0
27,221 days,5.041203632945468e-05,0.007100143402034545,0.005555586647397174,inf,2.0,1.0
28,228 days,0.00010572204151954698,0.01028212242290214,0.00819309592699589,inf,2.0,1.0
29,235 days,0.00013488322482258031,0.011613923747923452,0.009078920696919965,inf,2.0,1.0
30,242 days,0.0002564784458395269,0.016014944453213907,0.013580046218908617,inf,2.0,1.0
31,249 days,0.00031740462837679425,0.017815853287922928,0.01655665918841435,inf,2.0,1.0
32,256 days,0.0003793832104893655,0.019477761947651107,0.01927651446620621,inf,2.0,1.0
33,263 days,0.00044368300254942665,0.021063784146003458,0.020813251207731077,inf,2.0,1.0
34,270 days,0.0004862430063343082,0.022050918491852176,0.021817706861647447,inf,2.0,1.0
35,277 days,0.00042435110669202956,0.020599784141879487,0.020350521519253262,inf,2.0,1.0
36,284 days,0.0004156622219880407,0.020387795908043634,0.02009553939089169,inf,2.0,1.0
37,291 days,0.00037325373602214117,0.019319775775669373,0.018638206498680882,inf,2.0,1.0
38,298 days,0.0003285211106331779,0.01812515132718008,0.017632961655805694,inf,2.0,1.0
39,305 days,0.00028748611795937674,0.016955415593826555,0.016669116665072863,inf,2.0,1.0
40,312 days,0.0002716316578031653,0.01648125170620136,0.01617980600684291,inf,2.0,1.0
41,319 days,0.0002618359251260236,0.01618134497271545,0.0158661758026685,inf,2.0,1.0
42,326 days,0.00026213130503240475,0.016190469574178655,0.015879675242780233,inf,2.0,1.0
43,333 days,0.0002200884705599692,0.014835379016390825,0.01461054866019369,inf,2.0,1.0
44,340 days,0.00015030268536603866,0.01225979956467636,0.01138027292464399,inf,2.0,1.0
45,347 days,0.00018005722449436826,0.013418540326517198,0.012247921347696849,inf,2.0,1.0
46,354 days,0.0007007051973880195,0.0264708367338099,0.019908243992194874,inf,2.0,1.0
47,361 days,0.0023542529160558165,0.048520644225482176,0.036030796646624126,inf,2.0,1.0
