,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.00786843106023711,0.08870417724232106,0.058855435269532186,2.1471401265493983,1.2620170296401527,0.8
1,39 days,0.0543214423991102,0.23306960848448302,0.15252212157789977,1.3480761214511767,1.376112549187925,0.6000000000000001
2,46 days,0.09779691214457986,0.3127249784468453,0.2416657773644362,0.8907245856481872,1.5200213270740548,0.4
3,53 days,0.17133328499117664,0.41392425030574936,0.3551629473283777,0.8836515401974645,1.4366434471435423,0.2
4,60 days,0.247092003121576,0.49708349713260047,0.47262183357606324,0.8809156746322756,1.5233125720763585,0.0
5,67 days,0.31122094892733326,0.5578718033090876,0.5540200435719412,0.8809156746322756,1.5700775408854606,0.0
6,74 days,0.32606172443789305,0.5710181472054046,0.568346431680189,0.8770797731448358,1.554496454564699,0.0
7,81 days,0.30613599048313833,0.5532955724412932,0.5437618291936359,0.8770797731448358,1.5141644701668608,0.0
8,88 days,0.23297085797147432,0.4826705480671825,0.43400891997521557,0.8770797731448358,1.3948041046472177,0.2
9,95 days,0.15771936521702232,0.3971389746889901,0.322388391681979,0.8770797731448358,1.2737888522268175,0.4
10,102 days,0.08757983083200213,0.2959388971257447,0.21866445505693988,1.880761956331731,1.31069399296943,0.6000000000000001
11,109 days,0.027491233941040007,0.1658048067488998,0.12367969553451788,1.9459747627967139,1.4050835792807308,0.8
12,116 days,0.004899394712307759,0.06999567638295782,0.06938626821709665,13.789466012972458,1.5404499791309616,1.0
13,123 days,0.004981913159767865,0.07058266897594526,0.07006670557992879,inf,1.7431882245811174,1.0
14,130 days,0.004762604240453503,0.0690116239517192,0.06799178900386113,inf,1.928856802232278,1.0
15,137 days,0.0037419961489971766,0.06117185749180073,0.058883470110941166,inf,1.9795234935151074,1.0
16,144 days,0.002584783380238974,0.05084076494545469,0.04726381130161238,inf,1.9795234935151074,1.0
17,151 days,0.001567446481440293,0.039590989902252925,0.03519522131456224,inf,1.9795234935151074,1.0
18,158 days,0.0007909779137935536,0.028124329570561386,0.023107809579169025,inf,1.9795234935151074,1.0
19,165 days,0.00036043588700864464,0.01898514911736657,0.015755641123065347,inf,2.0,1.0
20,172 days,0.00021083166593230607,0.014520043592644825,0.012888205851354244,inf,2.0,1.0
21,179 days,0.00019727144584151708,0.014045335376612303,0.012547399318448168,inf,2.0,1.0
22,186 days,0.00019175804331533408,0.013847672848364597,0.012304957004225306,inf,2.0,1.0
23,193 days,0.00019183857560987273,0.013850580334768386,0.01232558583292342,inf,2.0,1.0
24,200 days,0.0001698461850446888,0.013032504941287718,0.01074023994324791,inf,2.0,1.0
25,207 days,9.82721778206278e-05,0.00991323246073791,0.006989700812234895,inf,2.0,1.0
26,214 days,2.844565026072072e-05,0.005333446377411206,0.003915442074512743,inf,2.0,1.0
27,221 days,6.787688498351038e-06,0.0026053192699458235,0.0023133116760974126,inf,2.0,1.0
28,228 days,2.3478791217006888e-05,0.004845491844695117,0.003783113336657883,inf,2.0,1.0
29,235 days,3.6832462825384316e-05,0.006068975434567544,0.004927588448665433,inf,2.0,1.0
30,242 days,6.0878102047248956e-05,0.007802442056641558,0.0070877142901809515,inf,2.0,1.0
31,249 days,8.211123773751617e-05,0.009061525133084175,0.008541133567878017,inf,2.0,1.0
32,256 days,9.052521920732209e-05,0.009514474195000063,0.009399677379078113,inf,2.0,1.0
33,263 days,8.307530753365157e-05,0.00911456567992417,0.00894649556138003,inf,2.0,1.0
34,270 days,8.129753772858431e-05,0.009016514721808217,0.008841072550223594,inf,2.0,1.0
35,277 days,7.1799090632976e-05,0.008473434406011296,0.008353879103806082,inf,2.0,1.0
36,284 days,6.213560399726499e-05,0.007882614033254767,0.007855336592315902,inf,2.0,1.0
37,291 days,6.548678673718963e-05,0.008092390668843765,0.008075871699655431,inf,2.0,1.0
38,298 days,7.067424017182773e-05,0.008406797260064484,0.008403912909292467,inf,2.0,1.0
39,305 days,7.444995068608749e-05,0.00862843848480636,0.008620660763565088,inf,2.0,1.0
40,312 days,7.452795171171677e-05,0.008632957298152052,0.008625226735226626,inf,2.0,1.0
41,319 days,7.025360427035609e-05,0.008381742317105442,0.008349695363576706,inf,2.0,1.0
42,326 days,6.0522149093114734e-05,0.007779598260393318,0.007562518813203392,inf,2.0,1.0
43,333 days,4.730120019233224e-05,0.006877586800058014,0.006451270431904606,inf,2.0,1.0
44,340 days,3.2999153764484876e-05,0.005744488990718398,0.0053515207311898155,inf,2.0,1.0
45,347 days,2.42633629471241e-05,0.0049257855157450875,0.00472673263391683,inf,2.0,1.0
46,354 days,1.7389925575954163e-05,0.004170122968924797,0.004102758350106495,inf,2.0,1.0
47,361 days,1.5926011618785943e-05,0.003990740735601092,0.0039060805609568536,inf,2.0,1.0
