,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0011197179615592804,0.03346218704088662,0.03141128214430662,5.245801733936426,1.4467295416257109,1.0
1,39 days,0.04503822645089162,0.21222211583831602,0.1223964892283094,5.245801733936426,1.4978803490901098,0.8
2,46 days,0.08708293061628657,0.29509817115035897,0.20900088776209125,0.8988467151440799,1.520458827360451,0.6000000000000001
3,53 days,0.15817668390881698,0.3977143244953807,0.32143769743818557,0.8944571679656423,1.4440852458212219,0.4
4,60 days,0.235094047865547,0.4848649790050288,0.43910295097835045,0.8944571679656423,1.4325929983913415,0.2
5,67 days,0.30656321014969456,0.5536815060571326,0.5492244247610775,0.8944571679656423,1.608318384124259,0.0
6,74 days,0.3220927421955846,0.5675321508034453,0.5645367218504731,0.8919983620754487,1.596378463572854,0.0
7,81 days,0.29776428471385585,0.5456778213505253,0.5324424232607308,0.8919983620754487,1.5485699666383912,0.0
8,88 days,0.2273142050771815,0.4767747949264742,0.42633184675032654,0.8919983620754487,1.5218938322201403,0.2
9,95 days,0.15100945454422504,0.3885993496446244,0.31498473868157795,0.8919983620754487,1.478264153472387,0.4
10,102 days,0.08004362456520672,0.2829198200289381,0.2090765839902711,4.686780165192715,1.511466151372252,0.6000000000000001
11,109 days,0.021531382556558898,0.14673575759356988,0.11396144300138844,5.763243135285268,1.5968950484337028,0.8
12,116 days,0.00447990226913453,0.06693207205170426,0.06687328448550019,15.866152186370575,1.7325338292163242,1.0
13,123 days,0.004187439014650871,0.0647104243120911,0.06446270813633995,inf,1.8355835451738038,1.0
14,130 days,0.0037363286321720965,0.06112551539391792,0.06026971483196715,inf,1.9474600250273197,1.0
15,137 days,0.002934241599941228,0.05416864037375525,0.05230502001771233,inf,1.9922374338199242,1.0
16,144 days,0.0020357542381535163,0.0451193333079459,0.04224093609768587,inf,1.9922374338199242,1.0
17,151 days,0.001258703842692159,0.03547821645308793,0.03182300076856624,inf,1.9922374338199242,1.0
18,158 days,0.0006618633366644831,0.025726704737771666,0.02108533414059408,inf,1.9922374338199242,1.0
19,165 days,0.0003020384569124424,0.01737925363508003,0.014174815480427715,inf,2.0,1.0
20,172 days,0.00016428483871169368,0.012817364733504843,0.011171312373684586,inf,2.0,1.0
21,179 days,0.00013907522189007438,0.011793015809794982,0.010459076013141319,inf,2.0,1.0
22,186 days,0.0001313840254476052,0.0114622870949739,0.010086339278821833,inf,2.0,1.0
23,193 days,0.0001321116922988215,0.011493985048660083,0.01032277436724564,inf,2.0,1.0
24,200 days,0.00011763674815272874,0.010846047582079323,0.008987424564906272,inf,2.0,1.0
25,207 days,7.00606563055151e-05,0.008370224388002697,0.0059085025503132745,inf,2.0,1.0
26,214 days,2.1477673553036206e-05,0.004634401099714634,0.003371132327541715,inf,2.0,1.0
27,221 days,5.316234653007487e-06,0.002305696131975653,0.0020336053102419393,inf,2.0,1.0
28,228 days,1.7982621389350614e-05,0.0042405921036278195,0.003255268357078893,inf,2.0,1.0
29,235 days,2.8731417931715328e-05,0.005360169580499793,0.004363124021307067,inf,2.0,1.0
30,242 days,4.644589366605552e-05,0.006815122424876571,0.006239632701551421,inf,2.0,1.0
31,249 days,6.129904122487288e-05,0.007829370423276246,0.007434261443914621,inf,2.0,1.0
32,256 days,6.804420686699824e-05,0.008248891250768083,0.008175397306167682,inf,2.0,1.0
33,263 days,6.34163504869425e-05,0.007963438358331312,0.007865348570485656,inf,2.0,1.0
34,270 days,6.257509693080217e-05,0.007910442271504304,0.007809116785088721,inf,2.0,1.0
35,277 days,5.646428714818297e-05,0.007514272230108713,0.007450256151931784,inf,2.0,1.0
36,284 days,5.046219419503979e-05,0.0071036746965946985,0.007088649067420677,inf,2.0,1.0
37,291 days,5.233962194097726e-05,0.007234612770631007,0.007227696808883467,inf,2.0,1.0
38,298 days,5.4565648283801157e-05,0.007386856454798696,0.007384880973187087,inf,2.0,1.0
39,305 days,5.669377082304601e-05,0.007529526600195129,0.0075233266684755756,inf,2.0,1.0
40,312 days,5.6157128335998185e-05,0.007493805998022513,0.007487683201695288,inf,2.0,1.0
41,319 days,5.241943803618045e-05,0.007240126935087564,0.007208650846151826,inf,2.0,1.0
42,326 days,4.557374195779726e-05,0.006750832686254138,0.006592967525336585,inf,2.0,1.0
43,333 days,3.6270013558723754e-05,0.006022459095645545,0.0057094363822723015,inf,2.0,1.0
44,340 days,2.5782026755805577e-05,0.005077600491945539,0.0047979321088535256,inf,2.0,1.0
45,347 days,1.939719803861866e-05,0.004404225021342422,0.004277884298244779,inf,2.0,1.0
46,354 days,1.5150815778213406e-05,0.00389240488364371,0.0038464710773693507,inf,2.0,1.0
47,361 days,1.24806873456978e-05,0.0035328016284102057,0.003377779576932612,inf,2.0,1.0
