,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.012850797419215559,0.11336135769836016,0.06198803570126318,0.8246065505080661,0.9057932688156173,0.8
1,39 days,0.03749962791895793,0.19364820659886817,0.13202289702123532,0.8381439427561039,1.1742534058498044,0.6000000000000001
2,46 days,0.08722904583472892,0.29534563791383295,0.22950318122313443,0.8549032026249342,1.392136194980539,0.4
3,53 days,0.14158651127153324,0.37627983107194735,0.32806161550624235,0.8472673110248405,1.2861392432598784,0.2
4,60 days,0.1971326595800549,0.44399623824989204,0.430040183551794,0.8454010297879788,1.4546918218547586,0.0
5,67 days,0.2485960973812087,0.49859412088512306,0.49304285495051114,0.8472673110248405,1.4732480932256518,0.0
6,74 days,0.28340483500804625,0.5323578073138838,0.5318786987974381,0.848153935485584,1.4792318919899388,0.0
7,81 days,0.25792774507924565,0.5078658731193164,0.5018061312201293,0.8472673110248405,1.43208975738459,0.0
8,88 days,0.2041766536348205,0.45185910816848707,0.40985519591394665,0.848153935485584,1.3015660103536235,0.2
9,95 days,0.15009575227455396,0.38742193055447177,0.32186611679887916,0.8558015756182851,1.280599786249894,0.4
10,102 days,0.08798122089742226,0.296616285624074,0.2283813791743862,1.3823678190638502,1.3768328049051162,0.6000000000000001
11,109 days,0.02998922617835681,0.1731739766199206,0.13645453153429685,4.245854567038512,1.4822955532305566,0.8
12,116 days,0.006810834048413454,0.08252777743531843,0.08160320747007699,172.3848972456821,1.6308067931955046,1.0
13,123 days,0.006813664374133102,0.08254492336984208,0.08162586433044396,inf,1.8673274919471319,1.0
14,130 days,0.0058201861295310315,0.07629014438006414,0.0744750724234928,inf,1.9954124467621017,1.0
15,137 days,0.004181666385365307,0.06466580537939126,0.0625476542768894,inf,2.0,1.0
16,144 days,0.002847420580646562,0.05336122731578203,0.05055420832370524,inf,2.0,1.0
17,151 days,0.001784718930184266,0.04224593388936107,0.03844728479807335,inf,2.0,1.0
18,158 days,0.0010061729034740682,0.03172022861635881,0.026735911294337847,inf,2.0,1.0
19,165 days,0.0005041258278500368,0.022452746554709888,0.018877505027546787,inf,2.0,1.0
20,172 days,0.0002751262441137108,0.016586929918273326,0.01492880119532692,inf,2.0,1.0
21,179 days,0.00021738017949071164,0.014743818348403227,0.01364102859226779,inf,2.0,1.0
22,186 days,0.0002057677269438618,0.014344606196890238,0.013174869978157417,inf,2.0,1.0
23,193 days,0.00020490862887283376,0.014314629889481382,0.013057751886541692,inf,2.0,1.0
24,200 days,0.0001767005925038612,0.013292877510300815,0.011236519824461695,inf,2.0,1.0
25,207 days,0.00010477708666577557,0.010236067929912128,0.007907486807975718,inf,2.0,1.0
26,214 days,3.1345274931992156e-05,0.005598685107415147,0.004315197620818879,inf,2.0,1.0
27,221 days,5.9624813444089214e-06,0.002441819269399134,0.002205758177418031,inf,2.0,1.0
28,228 days,1.647563473376773e-05,0.004059018937350223,0.0031302289164565067,inf,2.0,1.0
29,235 days,2.6803377449360884e-05,0.005177197837572067,0.004064541636048723,inf,2.0,1.0
30,242 days,4.544110984369142e-05,0.006741002139421959,0.005561939396416135,inf,2.0,1.0
31,249 days,6.67052457327726e-05,0.008167327943261039,0.0073910306581119484,inf,2.0,1.0
32,256 days,7.311165004130517e-05,0.008550535073391909,0.008384100742670144,inf,2.0,1.0
33,263 days,6.98010642101059e-05,0.00835470311920812,0.00816164751066993,inf,2.0,1.0
34,270 days,7.037943816305496e-05,0.00838924538698535,0.008198006768134638,inf,2.0,1.0
35,277 days,6.355751868232257e-05,0.007972296951464024,0.007819920902358665,inf,2.0,1.0
36,284 days,5.6261320060347375e-05,0.0075007546327251215,0.007432525847329658,inf,2.0,1.0
37,291 days,6.435462537774074e-05,0.008022133467958555,0.008000270560389103,inf,2.0,1.0
38,298 days,7.153804902260361e-05,0.008458016849274042,0.008448872585352034,inf,2.0,1.0
39,305 days,7.462336155441651e-05,0.008638481437985296,0.008630397640612386,inf,2.0,1.0
40,312 days,7.430386576475002e-05,0.008619969011820751,0.008610495536605046,inf,2.0,1.0
41,319 days,6.955601430838996e-05,0.008340024838595504,0.008301200315292603,inf,2.0,1.0
42,326 days,5.9195472358317606e-05,0.007693859392939126,0.007513714304132782,inf,2.0,1.0
43,333 days,4.559095962775363e-05,0.006752107791479164,0.006470352151590718,inf,2.0,1.0
44,340 days,3.215387169308965e-05,0.005670438403958696,0.005399790510684961,inf,2.0,1.0
45,347 days,2.2023422907231643e-05,0.004692911985881649,0.004524936400003015,inf,2.0,1.0
46,354 days,1.4179923585335209e-05,0.003765623930417801,0.0037248948774557707,inf,2.0,1.0
47,361 days,1.0293930888532654e-05,0.0032084156352524926,0.0030726377034717145,inf,2.0,1.0
