,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.00011417644837638932,0.010685338009459004,0.008737294462797508,78.3477373865224,1.3188233444340927,1.0
1,39 days,0.014942822837644405,0.1222408394835556,0.06276298160254729,78.3477373865224,1.519747429912365,0.8
2,46 days,0.04657448213876788,0.21581121875094417,0.14009420990372023,0.9127960369506034,1.4655366415336748,0.6000000000000001
3,53 days,0.10792806880311184,0.32852407644358705,0.24821763503978783,0.9127960369506034,1.4118201080635597,0.4
4,60 days,0.1711507683950823,0.41370372054778803,0.35748436777361525,0.9127960369506034,1.3641028567957298,0.2
5,67 days,0.23357636999945064,0.48329739291604984,0.46906691342273854,0.9266412976858887,1.703074504251674,0.0
6,74 days,0.27242026233943817,0.5219389450303916,0.5182150508319161,0.9266412976858887,1.7150868062319928,0.0
7,81 days,0.2526143522011447,0.5026075528691791,0.48732961225368365,0.9266412976858887,1.6715209113718104,0.0
8,88 days,0.1916031193934722,0.43772493576842547,0.38522246853057923,0.9266412976858887,1.693765294229777,0.2
9,95 days,0.1287352469862577,0.3587969439477679,0.2817494311975101,0.9273874948746255,1.7268677797566914,0.4
10,102 days,0.0667100499176951,0.258282887388412,0.17896261485081227,23.419298790823184,1.778487639221285,0.6000000000000001
11,109 days,0.013379887441549384,0.11567146338466279,0.08364061376506812,35.082504620455296,1.8366832959755124,0.8
12,116 days,0.0017948745255780736,0.04236595951442707,0.04224728152544639,313.25436171993624,1.944416700162873,1.0
13,123 days,0.0016074215943258446,0.040092662599605984,0.039727276831054974,inf,1.9758888507750216,1.0
14,130 days,0.0013279927700856253,0.03644163511816704,0.035755473180937844,inf,1.9974623665930096,1.0
15,137 days,0.000997701658332829,0.031586415724688184,0.03055321686935486,inf,2.0,1.0
16,144 days,0.0006873947169471324,0.026218213458340987,0.02483640933960457,inf,2.0,1.0
17,151 days,0.0004323513089411169,0.02079305915302308,0.019011555813466176,inf,2.0,1.0
18,158 days,0.0002423911486388117,0.015568916103531796,0.013260712686853667,inf,2.0,1.0
19,165 days,0.00012507312786243165,0.011183609786756315,0.009637117103093508,inf,2.0,1.0
20,172 days,7.771749286130452e-05,0.00881575254083873,0.008028265504277144,inf,2.0,1.0
21,179 days,6.673849009762458e-05,0.00816936289423016,0.007557955265755554,inf,2.0,1.0
22,186 days,6.51224467344938e-05,0.00806984799946652,0.007443240868821391,inf,2.0,1.0
23,193 days,6.536725256497664e-05,0.008085001704698436,0.007497083363218946,inf,2.0,1.0
24,200 days,5.535300452488391e-05,0.007439959981403389,0.00624476374332476,inf,2.0,1.0
25,207 days,3.24938844766646e-05,0.005700340733382926,0.00416551215162405,inf,2.0,1.0
26,214 days,1.084647688488819e-05,0.0032933989865924517,0.0023444936759147777,inf,2.0,1.0
27,221 days,1.9840342846062086e-06,0.001408557519097537,0.001225011135955581,inf,2.0,1.0
28,228 days,5.6090672834179144e-06,0.0023683469516559254,0.0017216511659867216,inf,2.0,1.0
29,235 days,1.0511696441032131e-05,0.0032421746469047793,0.002553454376261823,inf,2.0,1.0
30,242 days,1.8573508930194835e-05,0.0043096994013730044,0.003764882551738293,inf,2.0,1.0
31,249 days,2.582970567305819e-05,0.00508229334779666,0.004723028444367315,inf,2.0,1.0
32,256 days,2.909839558311687e-05,0.00539429287146303,0.005332257759810492,inf,2.0,1.0
33,263 days,2.9028073317065195e-05,0.005387770718679962,0.005325042436548944,inf,2.0,1.0
34,270 days,2.924977838344781e-05,0.005408306424699677,0.005346859339689076,inf,2.0,1.0
35,277 days,2.65276669924455e-05,0.005150501625322091,0.005110803958069797,inf,2.0,1.0
36,284 days,2.4118864927985416e-05,0.004911096102499463,0.004897595063436693,inf,2.0,1.0
37,291 days,2.577935478130711e-05,0.005077337371231806,0.005076069345600402,inf,2.0,1.0
38,298 days,2.6844758365929017e-05,0.005181192755141331,0.005180205770333859,inf,2.0,1.0
39,305 days,2.7417823468419896e-05,0.00523620315385298,0.005234561116750443,inf,2.0,1.0
40,312 days,2.7309637668799304e-05,0.005225862385176183,0.005224056482602822,inf,2.0,1.0
41,319 days,2.5432807450090842e-05,0.005043095026874949,0.005020346729217099,inf,2.0,1.0
42,326 days,2.1208700747074846e-05,0.00460529051711994,0.004442089203000728,inf,2.0,1.0
43,333 days,1.6350162439655112e-05,0.004043533410231095,0.00379617494320281,inf,2.0,1.0
44,340 days,1.1713911773976421e-05,0.0034225592433114174,0.0032069742633718,inf,2.0,1.0
45,347 days,8.317465067293743e-06,0.0028840015719991804,0.002791097662352631,inf,2.0,1.0
46,354 days,6.90175531153077e-06,0.002627119203905824,0.0025948366442061725,inf,2.0,1.0
47,361 days,6.205724086783584e-06,0.0024911290787078023,0.0023892571285593573,inf,2.0,1.0
