,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.10720172858911461,0.3274167506239023,0.31873794237315856,0.49051053154419944,0.6283747665843472,0.0
1,39 days,0.11419566301561923,0.33792848802020115,0.32915100379800855,0.5037796468939736,0.6330748580651157,0.0
2,46 days,0.11867039226547171,0.34448569239588417,0.33551109062883655,0.5037796468939736,0.6371895541198835,0.0
3,53 days,0.12493372986778602,0.3534596580485332,0.34772056995366024,0.5037796468939736,0.6564789316784432,0.0
4,60 days,0.14639752894147257,0.38261930027309465,0.3784053874109793,0.5171340252647756,0.6963917954074682,0.0
5,67 days,0.13990007942974625,0.3740321903656773,0.37085245692786517,0.5171340252647756,0.6839109712681657,0.0
6,74 days,0.14242351207776316,0.37739039743714087,0.3742590554790438,0.5171340252647756,0.6775783226546729,0.0
7,81 days,0.166505162832162,0.40805044152918396,0.40183610122728314,0.5193429219022029,0.6929774332788006,0.0
8,88 days,0.2148359226956391,0.46350396189853554,0.4582802612179633,0.5470419722754849,0.7457622528616547,0.0
9,95 days,0.2095410455255029,0.457756535207858,0.45182825995533116,0.5294297530730276,0.7391680056356666,0.0
10,102 days,0.25449016072012903,0.5044701782267501,0.49509704456061815,0.5582856303460849,0.7954964989044684,0.0
11,109 days,0.2810771403874032,0.53016708723515,0.5244841178929636,0.6004634589225628,0.8541037835921257,0.0
12,116 days,0.2734584612168635,0.5229325589565671,0.516645502797945,0.6370340576117818,0.886632060789781,0.0
13,123 days,0.23530542085845987,0.4850829010163725,0.4758094792028513,0.6370340576117818,0.8972644712687194,0.0
14,130 days,0.2186353989183712,0.46758464358698865,0.4506511695468113,0.6370340576117818,0.9279062420879798,0.0
15,137 days,0.14186878787868032,0.376654732983246,0.3451685687853995,0.6260202499587686,0.837978741682958,0.2
16,144 days,0.08683292749311261,0.29467427355151415,0.2472525727376787,0.6078444402230262,0.7326245803583639,0.4
17,151 days,0.04446942419314213,0.21087774703164422,0.1690609418042474,0.6078444402230262,0.9080824890109664,0.6000000000000001
18,158 days,0.01817697472686736,0.1348220112847578,0.10454852304028295,0.6078444402230262,1.1258322775533425,0.8
19,165 days,0.0038108600686233445,0.06173216397165537,0.05377646586039267,19.55237433977212,1.3511838523959114,1.0
20,172 days,0.0018714870702612157,0.043260687353083235,0.03742048815337462,inf,1.6444821971885177,1.0
21,179 days,0.0016302942473135802,0.040376902398692995,0.03224796210923689,inf,1.9628811198530594,1.0
22,186 days,0.0005734620470877668,0.023947067609370605,0.02118195344024673,inf,2.0,1.0
23,193 days,0.00027839081834082885,0.016685047747634074,0.016319290603958973,inf,2.0,1.0
24,200 days,0.000236160784533934,0.01536752369557093,0.0135439937312888,inf,2.0,1.0
25,207 days,0.00016858439040975959,0.01298400517597554,0.010012547404234174,inf,2.0,1.0
26,214 days,0.00018918119742513455,0.013754315592756135,0.010839646503963345,inf,2.0,1.0
27,221 days,0.00010852105522755892,0.010417343962237155,0.006901676552422216,inf,2.0,1.0
28,228 days,4.263482083843651e-05,0.006529534503962477,0.003485898372689453,inf,2.0,1.0
29,235 days,4.541352886857399e-05,0.006738956066674867,0.0041093334089790795,inf,2.0,1.0
30,242 days,6.18684370611959e-05,0.007865649182438528,0.005781615429449617,inf,2.0,1.0
31,249 days,2.4060588326649483e-05,0.004905159357926048,0.0038108049388971233,inf,2.0,1.0
32,256 days,2.86215585084295e-05,0.0053499120094100145,0.0046898962930513105,inf,2.0,1.0
33,263 days,3.113713663608576e-05,0.005580066006427321,0.005211841084298785,inf,2.0,1.0
34,270 days,2.8499740348563965e-05,0.005338514807375172,0.004669393669091316,inf,2.0,1.0
35,277 days,1.2890069583781242e-05,0.003590274304810322,0.003286198604869538,inf,2.0,1.0
36,284 days,8.867273666516384e-06,0.002977796780594066,0.0026099287909232315,inf,2.0,1.0
37,291 days,4.993046434523532e-06,0.0022345125720218116,0.0020305464156764284,inf,2.0,1.0
38,298 days,1.2951705536348456e-05,0.003598847806777671,0.0027517440583451317,inf,2.0,1.0
39,305 days,3.2585092280599754e-05,0.005708335333580164,0.004529976495366207,inf,2.0,1.0
40,312 days,3.169988382335263e-05,0.005630264986956886,0.004210788038096885,inf,2.0,1.0
41,319 days,6.174438841585292e-05,0.007857759758089637,0.006418783950215245,inf,2.0,1.0
42,326 days,0.0004665363998761163,0.021599453693927455,0.01504545977780306,inf,2.0,1.0
43,333 days,0.002246813052436865,0.0474005596215579,0.032507473568028494,inf,2.0,1.0
44,340 days,0.00635080584246025,0.07969194339743667,0.05923309615146283,inf,2.0,1.0
45,347 days,0.01404311366543148,0.11850364410190718,0.09833876347229498,inf,2.0,0.8
46,354 days,0.0255056903915502,0.15970501053990196,0.1438176660070975,inf,2.0,0.6000000000000001
47,361 days,0.03635334952416521,0.19066554362066895,0.1822528450301572,inf,1.9180245283172113,0.4
