,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.15603931843454064,0.3950181241848792,0.3814239452541923,0.5078307009236712,0.6848811773778628,0.0
1,39 days,0.13379300885540096,0.3657772667285393,0.35609746299999395,0.5015480893288891,0.647019706638034,0.0
2,46 days,0.1379942516132593,0.3714757752710926,0.3618645885743802,0.5015480893288891,0.6500017001602643,0.0
3,53 days,0.13993264218721185,0.37407571718465216,0.36561821158608254,0.5015480893288891,0.6570860213065999,0.0
4,60 days,0.14724070314446833,0.38371956315057526,0.37656159502775477,0.5015480893288891,0.6740651470969772,0.0
5,67 days,0.1342991231000995,0.3664684476187541,0.36263418377414125,0.5015480893288891,0.6576959186741012,0.0
6,74 days,0.1301367162544818,0.3607446690589922,0.3568767466063238,0.4979975191904385,0.6417196809077793,0.0
7,81 days,0.14275675553469597,0.37783164972603334,0.37202573024131647,0.4979975191904385,0.6438627852318232,0.0
8,88 days,0.18373243040315954,0.4286402109032231,0.42367131702097216,0.5219598660683069,0.6923546890919698,0.0
9,95 days,0.1767694047751669,0.4204395375974611,0.41328815541342323,0.5219598660683069,0.6769631067092486,0.0
10,102 days,0.20980130489685714,0.4580407240593975,0.4456313030136857,0.5219598660683069,0.7186606467552651,0.0
11,109 days,0.217276494076572,0.4661292675605899,0.4556734029321055,0.5484291819643988,0.7518796401602821,0.0
12,116 days,0.20740285756325214,0.4554150387978554,0.44406800570983374,0.5695036715579317,0.7721410160177612,0.0
13,123 days,0.17823243806311978,0.4221758378485436,0.41119032598176053,0.5752922455834084,0.7811110853773118,0.0
14,130 days,0.1839055411346484,0.4288420934734001,0.4197655659367807,0.5920859984415022,0.8480678048410443,0.0
15,137 days,0.11677442648425022,0.3417227333442278,0.3253166233890843,0.5752922455834084,0.7695604385868362,0.2
16,144 days,0.08529800657643476,0.2920582246341211,0.2501625401914803,0.5752922455834084,0.655306741697521,0.4
17,151 days,0.055226664283993684,0.2350035410030957,0.18732808245568583,0.5920859984415022,0.8396875944426041,0.6000000000000001
18,158 days,0.029543944667316045,0.1718835206391702,0.12445625091823442,0.6305764832511328,1.0714710704827344,0.8
19,165 days,0.004784144538264157,0.06916751071322545,0.05724513907049936,12.787299582494175,1.2872836440105566,1.0
20,172 days,0.001955213559947718,0.04421779686899516,0.035164639468608795,inf,1.5827729128688974,1.0
21,179 days,0.0018625294249063878,0.04315703216054584,0.03087563502169896,inf,1.9458995203595475,1.0
22,186 days,0.0007364471633267324,0.027137560010559763,0.021149277844064687,inf,2.0,1.0
23,193 days,0.00045925050739776705,0.021430130830159835,0.017495465098918323,inf,2.0,1.0
24,200 days,0.00042053044079640997,0.020506838878686543,0.01590843183904799,inf,2.0,1.0
25,207 days,0.0004237863779957277,0.02058607242763242,0.01608355659883888,inf,2.0,1.0
26,214 days,0.000549701922534937,0.02344572290493379,0.021085392498007484,inf,2.0,1.0
27,221 days,0.00034401025125938066,0.01854751334436454,0.016357290325278218,inf,2.0,1.0
28,228 days,0.00019343055196973028,0.013907931261324608,0.012346128072652427,inf,2.0,1.0
29,235 days,0.00019060166355334794,0.01380585613257461,0.012164243128684936,inf,2.0,1.0
30,242 days,0.00017167404331535694,0.013102444173334872,0.010283795553290148,inf,2.0,1.0
31,249 days,4.924626445714042e-05,0.007017568272353353,0.006100849862359474,inf,2.0,1.0
32,256 days,7.037578584699218e-05,0.008389027705699402,0.006973080086413154,inf,2.0,1.0
33,263 days,7.144606074558236e-05,0.008452577165905223,0.007033257776988874,inf,2.0,1.0
34,270 days,6.545546582602831e-05,0.008090455229838943,0.006541649559370693,inf,2.0,1.0
35,277 days,8.255176061034052e-05,0.009085799943336883,0.00832563760009964,inf,2.0,1.0
36,284 days,8.402158928811115e-05,0.009166329106469565,0.00848616536753567,inf,2.0,1.0
37,291 days,4.7090678775044674e-05,0.006862264842968732,0.0065137683844965965,inf,2.0,1.0
38,298 days,3.1062891680656987e-05,0.005573409340848471,0.004961132466346807,inf,2.0,1.0
39,305 days,4.002077837237962e-05,0.0063261977816362665,0.005643011408375682,inf,2.0,1.0
40,312 days,2.314561464064705e-05,0.004810988946219587,0.004013209704134784,inf,2.0,1.0
41,319 days,6.120088694593794e-05,0.007823099574077908,0.005950383731846639,inf,2.0,1.0
42,326 days,0.0006859313749689351,0.02619029161672193,0.016277197568361303,inf,2.0,1.0
43,333 days,0.003457070294418521,0.05879685616101018,0.03956465476518364,inf,2.0,1.0
44,340 days,0.009797268108321018,0.09898115026772027,0.07355797407902359,inf,2.0,0.8
45,347 days,0.020740339778814773,0.1440150678881025,0.12012061109136218,inf,2.0,0.6000000000000001
46,354 days,0.03521427120655511,0.18765465943204052,0.17107065664634924,inf,1.9868711804161632,0.4
47,361 days,0.04069914586720006,0.2017402931176617,0.1948248723736182,inf,1.757214311036254,0.2
