station     min  max  mean
MRSTC      0.00 0.68 0.22
N64W1675   0.00 0.55 0.15
N63W173    0.00 0.76 0.24
N73W145    0.03 0.76 0.26
N63W171    0.00 0.69 0.22
PABA20     0.00 0.42 0.15
N72W1675   0.01 0.34 0.16
N714W1575  0.00 0.21 0.09
PASN10     0.02 0.02 0.02
PLPT20     0.00 0.68 0.15
N72W155    0.00 0.52 0.13
YKRDC      0.00 0.49 0.18
PAPH20     0.02 0.23 0.05
DMPT10     0.00 0.26 0.09
N628W1663  0.00 0.58 0.18
NSLG10     0.01 0.02 0.01
N56W167    0.00 0.00 0.00
PATG10     0.00 0.55 0.13
N57W177    0.00 0.00 0.00
N74W165    0.00 0.38 0.13
PAPOC      0.00 0.42 0.16
CMPTC      0.00 0.22 0.08
PTTPC      0.01 0.25 0.09
N57W161    0.01 0.02 0.02
N74W155    0.05 0.63 0.19
N713W160   0.00 0.32 0.13
N76W170    0.04 0.36 0.13
N63W175    0.00 0.74 0.25
N55W169    0.00 0.00 0.00
N58W175    0.01 0.01 0.01
N75W1625   0.05 0.47 0.15
PAGM10     0.00 0.76 0.24
N61W169    0.00 0.60 0.18
N57W1687   0.02 0.02 0.02
N57W165    0.03 0.17 0.05
N644W170   0.00 0.67 0.23
N72W1625   0.00 0.25 0.11
N59W169    0.00 0.57 0.11
N74W1475   0.03 0.73 0.25
N76W145    0.02 0.65 0.17
ICYPC      0.00 0.45 0.16
PLPTC      0.00 0.73 0.18
PPIZ10     0.00 0.40 0.15
PAWIC      0.00 0.42 0.17
PAPH10     0.02 0.34 0.08
PABRC      0.00 0.16 0.08
PATG40     0.00 0.45 0.09
N663W1683  0.00 0.45 0.17
NRTS3      0.00 0.49 0.16
N58W165    0.00 0.53 0.11
NUQT20     0.00 0.34 0.09
N593W163   0.00 0.50 0.14
NUQT10     0.00 0.34 0.09
N72W145    0.02 0.62 0.25
PASA10     0.00 0.67 0.23
N75W1675   0.02 0.34 0.12
N62W167    0.00 0.59 0.17
N73W155    0.01 0.58 0.15
N73W1525   0.03 0.61 0.18
N62W173    0.00 0.75 0.19
N62W169    0.00 0.59 0.20
NSLG20     0.01 0.02 0.01
PAGM20     0.00 0.76 0.24
PABA10     0.00 0.30 0.10
N74W1675   0.00 0.34 0.12
N55W171    0.00 0.00 0.00
KIVA10     0.00 0.45 0.18
N72W1425   0.01 0.71 0.25
N62W171    0.00 0.71 0.19
N72W1725   0.00 0.25 0.14
N73W1725   0.02 0.24 0.12
YKRD10     0.00 0.49 0.18
YKRD20     0.00 0.57 0.18
PAHP10     0.00 0.60 0.16
N57W163    0.02 0.16 0.05
NSLGC      0.01 0.02 0.01
N60W179    0.03 0.05 0.04
PASC20     0.00 0.37 0.10
PTTP20     0.01 0.33 0.11
N73W1425   0.02 0.73 0.24
STMNW      0.00 0.61 0.10
N57W173    0.00 0.00 0.00
NECP10     0.00 0.60 0.21
N56W171    0.00 0.00 0.00
PASG20     0.00 0.00 0.00
N74W1375   0.01 0.61 0.16
N76W150    0.02 0.73 0.20
PTBR20     0.00 0.45 0.12
PAOMC      0.00 0.47 0.14
N634W1734  0.00 0.77 0.25
N71W1425   0.03 0.58 0.21
PAGMC      0.00 0.74 0.23
FLPSC      0.00 0.01 0.00
N70W1375   0.00 0.33 0.14
N74W1725   0.01 0.22 0.10
NUNVC      0.00 0.61 0.17
CMPT20     0.00 0.22 0.08
KTZSM      0.00 0.40 0.19
N59W165    0.00 0.68 0.18
N73W150    0.03 0.63 0.24
N62W175    0.00 0.74 0.16
